"DR_NO","Date.Rptd","DATE.OCC","TIME.OCC","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Status","Status.Desc","LOCATION","LAT","LON","Time.to.reports","Delayed_Report","Time_Slots_Happening","Weekdays_of_DateOcc"
210314609,2021-08-19,2021-08-19,1400,3,"Southwest",391,2,624,"BATTERY - SIMPLE ASSAULT",55,"F","B",729,"SPECIALTY SCHOOL/OTHER","AO","Adult Other","4000    SANTO TOMAS                  DR",34.0093,-118.3437,0,"0","Afternoon","Thursday"
210304334,2021-01-09,2021-01-09,215,3,"Southwest",395,2,624,"BATTERY - SIMPLE ASSAULT",27,"F","B",505,"MOTEL","AO","Adult Other","4100 S  WESTERN                      AV",34.0091,-118.3089,0,"0","Midnight","Saturday"
242107238,2024-03-24,2024-03-24,1018,21,"Topanga",2134,2,624,"BATTERY - SIMPLE ASSAULT",13,"M","B",501,"SINGLE FAMILY DWELLING","JO","Juv Other","22200    WYANDOTTE                    ST",34.2028,-118.6103,0,"0","Morning","Sunday"
201508931,2020-04-19,2020-04-19,350,15,"N Hollywood",1526,2,624,"BATTERY - SIMPLE ASSAULT",32,"F","O",101,"STREET","IC","Invest Cont","6200    BECK                         AV",34.1831,-118.3833,0,"0","Midnight","Sunday"
230213989,2023-07-13,2023-07-11,1600,2,"Rampart",205,2,624,"BATTERY - SIMPLE ASSAULT",36,"M","W",101,"STREET","IC","Invest Cont","SUNSET",34.0829,-118.2733,2,"1","Afternoon","Tuesday"
201417806,2020-09-13,2020-09-13,2200,14,"Pacific",1433,2,624,"BATTERY - SIMPLE ASSAULT",63,"M","B",202,"LIQUOR STORE","IC","Invest Cont","1500    VENICE                       BL",33.9945,-118.452,0,"0","Evening","Sunday"
221223848,2022-11-19,2022-11-19,2120,12,"77th Street",1218,2,624,"BATTERY - SIMPLE ASSAULT",39,"M","H",203,"OTHER BUSINESS","IC","Invest Cont","5300 S  VERMONT                      AV",33.9941,-118.2915,0,"0","Evening","Saturday"
240110214,2024-04-12,2024-04-12,1400,1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT",68,"F","B",834,"LA UNION STATION (NOT LINE SPECIFIC)","IC","Invest Cont","800 N  ALAMEDA                      ST",34.0561,-118.2375,0,"0","Afternoon","Friday"
221710461,2022-06-25,2022-06-25,200,17,"Devonshire",1712,2,624,"BATTERY - SIMPLE ASSAULT",43,"F","O",501,"SINGLE FAMILY DWELLING","JO","Juv Other","11800    PORTER VALLEY                DR",34.2862,-118.554,0,"0","Midnight","Saturday"
230415757,2023-12-26,2023-12-26,1820,4,"Hollenbeck",427,2,624,"BATTERY - SIMPLE ASSAULT",51,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","4500 N  HUNTINGTON DR",34.0838,-118.1882,0,"0","Afternoon","Tuesday"
201710104,2020-06-16,2020-06-16,1720,17,"Devonshire",1718,2,624,"BATTERY - SIMPLE ASSAULT",58,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","15800    RINALDI                      ST",0,0,0,"0","Afternoon","Tuesday"
230119875,2023-09-14,2023-09-14,1945,1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT",34,"M","H",834,"LA UNION STATION (NOT LINE SPECIFIC)","IC","Invest Cont","800 N  ALAMEDA                      ST",34.0561,-118.2375,0,"0","Evening","Thursday"
211011893,2021-09-02,2021-08-30,800,10,"West Valley",1005,2,624,"BATTERY - SIMPLE ASSAULT",36,"M","H",101,"STREET","AO","Adult Other","8100    YARMOUTH                     AV",34.2176,-118.5197,3,"1","Morning","Monday"
240105807,2024-01-26,2024-01-26,900,1,"Central",123,2,624,"BATTERY - SIMPLE ASSAULT",44,"M","H",102,"SIDEWALK","IC","Invest Cont","1ST",34.0529,-118.2445,0,"0","Morning","Friday"
231417662,2023-09-21,2023-09-20,2030,14,"Pacific",1431,2,624,"BATTERY - SIMPLE ASSAULT",73,"M","O",210,"RESTAURANT/FAST FOOD","IC","Invest Cont","200    WINDWARD                     AV",33.9883,-118.4708,1,"0","Evening","Wednesday"
232114648,2023-09-28,2023-09-28,1330,21,"Topanga",2189,2,624,"BATTERY - SIMPLE ASSAULT",19,"M","H",252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)","IC","Invest Cont","20000    VENTURA                      BL",34.1719,-118.5682,0,"0","Afternoon","Thursday"
211004452,2021-01-14,2021-01-14,1210,10,"West Valley",1065,2,624,"BATTERY - SIMPLE ASSAULT",21,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","5200    NEWCASTLE                    AV",34.1645,-118.5244,0,"0","Afternoon","Thursday"
231604674,2023-01-22,2023-01-22,1115,16,"Foothill",1636,2,624,"BATTERY - SIMPLE ASSAULT",64,"M","W",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","9500    LA CANADA                    WY",34.2602,-118.3395,0,"0","Morning","Sunday"
242005135,2024-01-27,2024-01-27,1710,20,"Olympic",2071,2,624,"BATTERY - SIMPLE ASSAULT",30,"M","H",101,"STREET","IC","Invest Cont","VENICE                       BL",34.0436,-118.3177,0,"0","Afternoon","Saturday"
220905419,2022-02-07,2022-02-07,1230,9,"Van Nuys",926,2,624,"BATTERY - SIMPLE ASSAULT",32,"F","H",710,"OTHER PREMISE","AO","Adult Other","6700    SYLMAR                       AV",34.1923,-118.4465,0,"0","Afternoon","Monday"
221413183,2022-06-29,2022-06-29,2000,14,"Pacific",1413,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","O",122,"VEHICLE, PASSENGER/TRUCK","IC","Invest Cont","5TH",33.9943,-118.4709,0,"0","Evening","Wednesday"
210505204,2021-01-29,2021-01-29,1000,5,"Harbor",541,2,624,"BATTERY - SIMPLE ASSAULT",29,"F","B",402,"MARKET","IC","Invest Cont","1000 N  WESTERN                      AV",33.7501,-118.3092,0,"0","Morning","Friday"
210504412,2021-01-11,2021-01-11,1300,5,"Harbor",565,2,624,"BATTERY - SIMPLE ASSAULT",59,"M","B",101,"STREET","AO","Adult Other","9TH",33.736,-118.2879,0,"0","Afternoon","Monday"
201813211,2020-06-28,2020-06-28,1200,18,"Southeast",1871,2,624,"BATTERY - SIMPLE ASSAULT",44,"M","H",102,"SIDEWALK","IC","Invest Cont","600 W  149TH                        ST",33.8963,-118.2872,0,"0","Afternoon","Sunday"
230319327,2023-11-06,2023-11-06,640,3,"Southwest",393,2,624,"BATTERY - SIMPLE ASSAULT",44,"F","H",210,"RESTAURANT/FAST FOOD","IC","Invest Cont","4200    CRENSHAW                     BL",34.0084,-118.3351,0,"0","Morning","Monday"
202016655,2020-11-02,2020-11-02,300,20,"Olympic",2076,2,624,"BATTERY - SIMPLE ASSAULT",26,"F","H",506,"ABANDONED BUILDING ABANDONED HOUSE","IC","Invest Cont","NORMANDIE                    AV",34.0472,-118.3,0,"0","Midnight","Monday"
240604699,2024-01-15,2024-01-15,1055,6,"Hollywood",646,2,624,"BATTERY - SIMPLE ASSAULT",18,"F","W",101,"STREET","IC","Invest Cont","HOLLYWOOD",34.1016,-118.3281,0,"0","Morning","Monday"
231219550,2023-09-15,2023-09-15,920,12,"77th Street",1273,2,624,"BATTERY - SIMPLE ASSAULT",53,"F","B",235,"PHARMACY INSIDE STORE OR SUPERMARKET*","IC","Invest Cont","1700 W  MANCHESTER                   AV",33.96,-118.3068,0,"0","Morning","Friday"
200312718,2020-06-13,2020-06-13,2210,3,"Southwest",321,2,624,"BATTERY - SIMPLE ASSAULT",19,"M","H",950,"MTA - EXPO LINE - LA CIENEGA/JEFFERSON","IC","Invest Cont","5600 W  JEFFERSON                    BL",34.0244,-118.3766,0,"0","Evening","Saturday"
200713228,2020-08-27,2020-08-27,1445,7,"Wilshire",785,2,624,"BATTERY - SIMPLE ASSAULT",49,"M","O",510,"NURSING/CONVALESCENT/RETIREMENT HOME","IC","Invest Cont","4800 W  WASHINGTON                   BL",34.0398,-118.3439,0,"0","Afternoon","Thursday"
202009993,2020-05-21,2020-05-21,1415,20,"Olympic",2024,2,624,"BATTERY - SIMPLE ASSAULT",49,"F","O",101,"STREET","IC","Invest Cont","3700    WILSHIRE                     BL",34.0636,-118.3047,0,"0","Afternoon","Thursday"
220807039,2022-03-17,2022-03-17,700,8,"West LA",834,2,624,"BATTERY - SIMPLE ASSAULT",68,"M","O",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","10600    WILSHIRE                     BL",34.0615,-118.4337,0,"0","Morning","Thursday"
201807500,2020-03-01,2020-03-01,2030,18,"Southeast",1837,2,624,"BATTERY - SIMPLE ASSAULT",20,"F","B",101,"STREET","IC","Invest Cont","104TH",33.9415,-118.239,0,"0","Evening","Sunday"
230111183,2023-04-24,2023-04-24,708,1,"Central",118,2,624,"BATTERY - SIMPLE ASSAULT",29,"M","H",101,"STREET","IC","Invest Cont","900 N  BROADWAY",34.064,-118.2375,0,"0","Morning","Monday"
241708208,2024-04-11,2024-04-11,415,17,"Devonshire",1723,2,624,"BATTERY - SIMPLE ASSAULT",46,"F","H",517,"MISSIONS/SHELTERS","IC","Invest Cont","10300    DE SOTO                      AV",34.2573,-118.5886,0,"0","Morning","Thursday"
231608804,2023-06-03,2023-06-02,1930,16,"Foothill",1615,2,624,"BATTERY - SIMPLE ASSAULT",71,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","11800    KAGEL CANYON                 ST",34.2734,-118.3906,1,"0","Evening","Friday"
220112619,2022-05-18,2022-05-18,1440,1,"Central",111,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","H",101,"STREET","IC","Invest Cont","700 W  COLLEGE                      ST",34.0653,-118.2412,0,"0","Afternoon","Wednesday"
222010249,2022-05-22,2022-05-22,1905,20,"Olympic",2005,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","O",301,"GAS STATION","IC","Invest Cont","4600    MELROSE                      AV",34.0836,-118.3005,0,"0","Evening","Sunday"
220909759,2022-05-30,2022-05-28,1800,9,"Van Nuys",979,2,624,"BATTERY - SIMPLE ASSAULT",58,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","13000    MOORPARK                     ST",34.1536,-118.4181,2,"1","Afternoon","Saturday"
220120773,2022-09-18,2022-09-18,200,1,"Central",165,2,624,"BATTERY - SIMPLE ASSAULT",33,"F","W",102,"SIDEWALK","AO","Adult Other","6TH",34.0433,-118.2488,0,"0","Midnight","Sunday"
240504074,2024-01-02,2024-01-02,1700,5,"Harbor",583,2,624,"BATTERY - SIMPLE ASSAULT",34,"F","W",116,"OTHER/OUTSIDE","IC","Invest Cont","1700 W  PASEO DEL MAR",33.7173,-118.3188,0,"0","Afternoon","Tuesday"
210217282,2021-11-07,2021-11-07,840,2,"Rampart",265,2,624,"BATTERY - SIMPLE ASSAULT",59,"M","H",203,"OTHER BUSINESS","IC","Invest Cont","ALVARADO",34.0549,-118.2778,0,"0","Morning","Sunday"
220614844,2022-08-19,2022-08-18,1850,6,"Hollywood",636,2,624,"BATTERY - SIMPLE ASSAULT",32,"F","H",102,"SIDEWALK","IC","Invest Cont","HOLLYWOOD                    BL",34.1016,-118.3295,1,"0","Afternoon","Thursday"
210614991,2021-08-26,2021-08-26,2225,6,"Hollywood",647,2,624,"BATTERY - SIMPLE ASSAULT",56,"M","A",203,"OTHER BUSINESS","IC","Invest Cont","1600    ARGYLE                       AV",34.0998,-118.3252,0,"0","Evening","Thursday"
220815932,2022-10-22,2022-10-22,1550,8,"West LA",817,2,624,"BATTERY - SIMPLE ASSAULT",30,"M","W",101,"STREET","IC","Invest Cont","1000    BROXTON                      AV",34.0626,-118.447,0,"0","Afternoon","Saturday"
231407353,2023-03-21,2023-03-21,1530,14,"Pacific",1406,2,624,"BATTERY - SIMPLE ASSAULT",34,"M","W",108,"PARKING LOT","IC","Invest Cont","10600    VENICE                       BL",34.0192,-118.4059,0,"0","Afternoon","Tuesday"
210607971,2021-04-06,2021-04-06,1620,6,"Hollywood",646,2,624,"BATTERY - SIMPLE ASSAULT",28,"F","H",203,"OTHER BUSINESS","IC","Invest Cont","1600    SCHRADER                     BL",0,0,0,"0","Afternoon","Tuesday"
200217635,2020-11-19,2020-11-19,1840,2,"Rampart",245,2,624,"BATTERY - SIMPLE ASSAULT",50,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","2500 W  6TH                          ST",34.0617,-118.2795,0,"0","Afternoon","Thursday"
200317736,2020-09-22,2020-09-22,1140,3,"Southwest",335,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","H",101,"STREET","AO","Adult Other","3000    8TH                          AV",34.0261,-118.326,0,"0","Morning","Tuesday"
201514323,2020-08-24,2020-08-24,1645,15,"N Hollywood",1522,2,624,"BATTERY - SIMPLE ASSAULT",57,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","13100    VANOWEN                      ST",34.194,-118.4186,0,"0","Afternoon","Monday"
230211327,2023-05-26,2023-05-26,1215,2,"Rampart",236,2,624,"BATTERY - SIMPLE ASSAULT",20,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","100 S  ALVARADO                     ST",34.0667,-118.2703,0,"0","Afternoon","Friday"
240905197,2024-02-04,2024-02-03,920,9,"Van Nuys",932,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","W",102,"SIDEWALK","AA","Adult Arrest","ERWIN                        ST",34.183,-118.4662,1,"0","Morning","Saturday"
200605750,2020-02-06,2020-02-06,835,6,"Hollywood",667,2,624,"BATTERY - SIMPLE ASSAULT",54,"M","W",102,"SIDEWALK","IC","Invest Cont","5900 W  SUNSET                       BL",34.0981,-118.318,0,"0","Morning","Thursday"
231217152,2023-08-06,2023-08-06,1650,12,"77th Street",1235,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","H",147,"POOL-PUBLIC/OUTDOOR OR INDOOR*","IC","Invest Cont","6100 S  DENKER                       AV",33.9846,-118.3046,0,"0","Afternoon","Sunday"
231214336,2023-06-21,2023-06-21,1545,12,"77th Street",1251,2,624,"BATTERY - SIMPLE ASSAULT",25,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","7200    9TH                          AV",33.9746,-118.3275,0,"0","Afternoon","Wednesday"
220818303,2022-12-18,2022-12-18,1200,8,"West LA",855,2,624,"BATTERY - SIMPLE ASSAULT",30,"F","B",203,"OTHER BUSINESS","IC","Invest Cont","10800    SANTA MONICA                 BL",34.0506,-118.4346,0,"0","Afternoon","Sunday"
200611082,2020-06-04,2020-06-04,1130,6,"Hollywood",647,2,624,"BATTERY - SIMPLE ASSAULT",25,"F","W",108,"PARKING LOT","IC","Invest Cont","1600    VINE                         ST",34.0998,-118.3267,0,"0","Morning","Thursday"
201314593,2020-07-28,2020-07-27,2310,13,"Newton",1354,2,624,"BATTERY - SIMPLE ASSAULT",22,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","4200    WOODLAWN                     AV",34.0066,-118.2728,1,"0","Evening","Monday"
201607442,2020-03-25,2020-01-01,2200,16,"Foothill",1657,2,624,"BATTERY - SIMPLE ASSAULT",50,"F","H",108,"PARKING LOT","AO","Adult Other","7100    FOOTHILL                     BL",34.253,-118.2907,84,"1","Evening","Wednesday"
201410072,2020-04-26,2020-04-26,910,14,"Pacific",1469,2,624,"BATTERY - SIMPLE ASSAULT",34,"F","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","5700 W  CENTINELA                    AV",33.9765,-118.381,0,"0","Morning","Sunday"
231315106,2023-08-05,2023-08-05,630,13,"Newton",1363,2,624,"BATTERY - SIMPLE ASSAULT",60,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","1000 E  49TH                         ST",33.9993,-118.2582,0,"0","Morning","Saturday"
230400907,2023-04-28,2023-04-28,1915,4,"Hollenbeck",413,2,624,"BATTERY - SIMPLE ASSAULT",52,"F","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","3300    PASADENA                     AV",34.0832,-118.2137,0,"0","Evening","Friday"
220608538,2022-04-08,2022-04-06,1835,6,"Hollywood",663,2,624,"BATTERY - SIMPLE ASSAULT",37,"M","O",717,"HEALTH SPA/GYM","IC","Invest Cont","6600    LEXINGTON                    AV",34.0926,-118.3332,2,"1","Afternoon","Wednesday"
221816965,2022-09-06,2022-09-02,1430,18,"Southeast",1822,2,624,"BATTERY - SIMPLE ASSAULT",44,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","9500 S  SPRING                       ST",33.9501,-118.2766,4,"1","Afternoon","Friday"
210109258,2021-04-22,2021-04-22,1330,1,"Central",163,2,624,"BATTERY - SIMPLE ASSAULT",45,"F","B",101,"STREET","AO","Adult Other","8TH",34.0437,-118.2547,0,"0","Afternoon","Thursday"
201811550,2020-05-22,2020-05-22,100,18,"Southeast",1801,2,624,"BATTERY - SIMPLE ASSAULT",22,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","8800 S  VERMONT                      AV",33.958,-118.2915,0,"0","Midnight","Friday"
200508770,2020-04-27,2020-04-27,1645,5,"Harbor",507,2,624,"BATTERY - SIMPLE ASSAULT",15,"F","H",104,"DRIVEWAY","IC","Invest Cont","1500    PLAZA DEL AMO",33.8214,-118.3037,0,"0","Afternoon","Monday"
231517813,2023-11-19,2023-11-18,1930,15,"N Hollywood",1599,2,624,"BATTERY - SIMPLE ASSAULT",3,"M","H",301,"GAS STATION","IC","Invest Cont","3700    CAHUENGA                     BL",34.135,-118.3611,1,"0","Evening","Saturday"
201409511,2020-04-12,2020-04-11,2325,14,"Pacific",1494,2,624,"BATTERY - SIMPLE ASSAULT",24,"M","B",212,"TRANSPORTATION FACILITY (AIRPORT)","IC","Invest Cont","100    WORLD                        WY",33.9451,-118.4029,1,"0","Evening","Saturday"
210910963,2021-06-26,2021-05-26,200,9,"Van Nuys",901,2,624,"BATTERY - SIMPLE ASSAULT",68,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","15400    RUNNYMEDE                    ST",34.2057,-118.4683,31,"1","Midnight","Wednesday"
231614877,2023-12-11,2023-12-11,1100,16,"Foothill",1684,2,624,"BATTERY - SIMPLE ASSAULT",32,"M","H",511,"PROJECT/TENEMENT/PUBLIC HOUSING","IC","Invest Cont","7800    LANKERSHIM                   BL",34.2166,-118.3919,0,"0","Morning","Monday"
200517051,2020-11-23,2020-11-23,1659,5,"Harbor",563,2,624,"BATTERY - SIMPLE ASSAULT",64,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","800 W  12TH                         ST",33.7334,-118.2946,0,"0","Afternoon","Monday"
232009068,2023-04-25,2023-04-09,1200,20,"Olympic",2002,2,624,"BATTERY - SIMPLE ASSAULT",15,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","4700    BEVERLY                      BL",34.0799,-118.3113,16,"1","Afternoon","Sunday"
231421546,2023-12-10,2023-12-10,1730,14,"Pacific",1414,2,624,"BATTERY - SIMPLE ASSAULT",50,"M","W",101,"STREET","IC","Invest Cont","700    BROADWAY",33.9961,-118.4655,0,"0","Afternoon","Sunday"
201613390,2020-09-30,2020-09-30,1155,16,"Foothill",1643,2,624,"BATTERY - SIMPLE ASSAULT",64,"M","H",501,"SINGLE FAMILY DWELLING","AO","Adult Other","13000    TERRA BELLA                  ST",34.2599,-118.4161,0,"0","Morning","Wednesday"
230408409,2023-05-13,2023-05-13,1150,4,"Hollenbeck",466,2,624,"BATTERY - SIMPLE ASSAULT",44,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","100 N  SOTO                         ST",34.0438,-118.2098,0,"0","Morning","Saturday"
231814104,2023-07-28,2023-07-28,815,18,"Southeast",1823,2,624,"BATTERY - SIMPLE ASSAULT",27,"F","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","400 E  98TH                         ST",33.9473,-118.2674,0,"0","Morning","Friday"
200315712,2020-08-13,2020-08-13,1545,3,"Southwest",393,2,624,"BATTERY - SIMPLE ASSAULT",62,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","4300    GARTHWAITE                   AV",34.0048,-118.3288,0,"0","Afternoon","Thursday"
201609645,2020-06-02,2020-06-02,2005,16,"Foothill",1602,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","B",108,"PARKING LOT","IC","Invest Cont","12600    VAN NUYS                     BL",34.2816,-118.4073,0,"0","Evening","Tuesday"
210609495,2021-05-07,2021-05-07,1300,6,"Hollywood",644,2,624,"BATTERY - SIMPLE ASSAULT",66,"F","B",504,"OTHER RESIDENCE","IC","Invest Cont","7100 W  SUNSET                       BL",34.098,-118.3447,0,"0","Afternoon","Friday"
201821344,2020-11-27,2020-11-27,1300,18,"Southeast",1822,2,624,"BATTERY - SIMPLE ASSAULT",20,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","100 E  98TH                         ST",33.9472,-118.2739,0,"0","Afternoon","Friday"
221910616,2022-06-09,2022-06-09,921,19,"Mission",1954,2,624,"BATTERY - SIMPLE ASSAULT",40,"M","O",108,"PARKING LOT","IC","Invest Cont","10300 N  SEPULVEDA                    BL",34.2573,-118.4673,0,"0","Morning","Thursday"
221604470,2022-01-17,2022-01-09,1530,16,"Foothill",1601,2,624,"BATTERY - SIMPLE ASSAULT",48,"M","H",101,"STREET","IC","Invest Cont","GLENOAKS                     BL",34.2865,-118.4161,8,"1","Afternoon","Sunday"
201612419,2020-08-30,2020-08-13,1330,16,"Foothill",1698,2,624,"BATTERY - SIMPLE ASSAULT",32,"M","H",203,"OTHER BUSINESS","AO","Adult Other","10600    WIXOM                        ST",34.2113,-118.3636,17,"1","Afternoon","Thursday"
201704916,2020-01-23,2020-01-23,815,17,"Devonshire",1745,2,624,"BATTERY - SIMPLE ASSAULT",50,"M","A",101,"STREET","IC","Invest Cont","ZELZAH                       AV",34.2613,-118.5234,0,"0","Morning","Thursday"
201211580,2020-04-24,2020-04-24,1400,12,"77th Street",1269,2,624,"BATTERY - SIMPLE ASSAULT",23,"F","B",239,"MEDICAL MARIJUANA FACILITIES/BUSINESSES","IC","Invest Cont","8000    AVALON                       BL",33.9665,-118.2651,0,"0","Afternoon","Friday"
220808837,2022-04-28,2020-03-30,1630,8,"West LA",842,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","O",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","1200 S  WESTGATE                     AV",34.0474,-118.4635,759,"1","Afternoon","Monday"
210120925,2021-11-22,2021-11-22,830,1,"Central",157,2,624,"BATTERY - SIMPLE ASSAULT",42,"F","B",903,"MTA - RED LINE - 7TH AND METRO CENTER","IC","Invest Cont","7TH",34.0416,-118.244,0,"0","Morning","Monday"
241807712,2024-03-19,2024-03-19,1115,18,"Southeast",1832,2,624,"BATTERY - SIMPLE ASSAULT",20,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","10600 S  BROADWAY",33.9401,-118.2781,0,"0","Morning","Tuesday"
240106655,2024-02-06,2024-02-06,1000,1,"Central",158,2,624,"BATTERY - SIMPLE ASSAULT",34,"M","H",203,"OTHER BUSINESS","IC","Invest Cont","800 E  6TH                          ST",34.0408,-118.2428,0,"0","Morning","Tuesday"
231510027,2023-05-21,2023-05-21,1705,15,"N Hollywood",1557,2,624,"BATTERY - SIMPLE ASSAULT",54,"F","W",102,"SIDEWALK","AO","Adult Other","CLEON                        AV",34.1608,-118.3681,0,"0","Afternoon","Sunday"
202012979,2020-08-04,2020-08-04,200,20,"Olympic",2044,2,624,"BATTERY - SIMPLE ASSAULT",53,"F","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","AO","Adult Other","800 S  NORMANDIE                    AV",34.0561,-118.302,0,"0","Midnight","Tuesday"
241706341,2024-02-26,2024-02-26,1954,17,"Devonshire",1747,2,624,"BATTERY - SIMPLE ASSAULT",34,"M","H",202,"LIQUOR STORE","AO","Adult Other","10600    BALBOA                       BL",34.2624,-118.5023,0,"0","Evening","Monday"
231319999,2023-11-02,2023-11-02,1104,13,"Newton",1321,2,624,"BATTERY - SIMPLE ASSAULT",59,"F","H",101,"STREET","IC","Invest Cont","500 W  23RD                         ST",34.0302,-118.273,0,"0","Morning","Thursday"
201214486,2020-06-11,2020-06-11,1310,12,"77th Street",1268,2,624,"BATTERY - SIMPLE ASSAULT",57,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","200 E  84TH                         ST",33.9628,-118.2717,0,"0","Afternoon","Thursday"
200914719,2020-09-15,2020-09-12,2120,9,"Van Nuys",981,2,624,"BATTERY - SIMPLE ASSAULT",55,"F","W",102,"SIDEWALK","AO","Adult Other","VENTURA                      BL",34.1538,-118.4662,3,"1","Evening","Saturday"
221907061,2022-03-16,2022-03-16,1330,19,"Mission",1994,2,624,"BATTERY - SIMPLE ASSAULT",35,"F","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont","7900    BRIMFIELD                    AV",34.2147,-118.4576,0,"0","Afternoon","Wednesday"
220115733,2022-07-06,2022-07-06,1040,1,"Central",192,2,624,"BATTERY - SIMPLE ASSAULT",33,"M","B",701,"HOSPITAL","IC","Invest Cont","1300 S  HOPE                         ST",34.0395,-118.2657,0,"0","Morning","Wednesday"
231012172,2023-08-06,2023-08-06,830,10,"West Valley",1065,2,624,"BATTERY - SIMPLE ASSAULT",61,"M","W",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","5500    NEWCASTLE                    AV",34.1707,-118.5244,0,"0","Morning","Sunday"
222110897,2022-06-22,2022-06-22,1400,21,"Topanga",2143,2,624,"BATTERY - SIMPLE ASSAULT",38,"M","H",108,"PARKING LOT","IC","Invest Cont","FALLBROOK",34.1865,-118.6234,0,"0","Afternoon","Wednesday"
210620035,2021-12-06,2021-12-06,1630,6,"Hollywood",643,2,624,"BATTERY - SIMPLE ASSAULT",20,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","1600 N  LA BREA                      AV",34.1007,-118.3494,0,"0","Afternoon","Monday"
231805839,2023-02-04,2023-02-04,1200,18,"Southeast",1849,2,624,"BATTERY - SIMPLE ASSAULT",37,"F","B",501,"SINGLE FAMILY DWELLING","AO","Adult Other","11400    CROESUS                      AV",33.9317,-118.2336,0,"0","Afternoon","Saturday"
221323095,2022-12-31,2022-12-30,1700,13,"Newton",1323,2,624,"BATTERY - SIMPLE ASSAULT",24,"F","H",101,"STREET","IC","Invest Cont","SAN PEDRO                    ST",34.0229,-118.2607,1,"0","Afternoon","Friday"
221300977,2022-09-11,2022-09-10,2030,13,"Newton",1311,2,624,"BATTERY - SIMPLE ASSAULT",31,"M","B",801,"MTA BUS","IC","Invest Cont","21ST                         ST",34.0324,-118.2741,1,"0","Evening","Saturday"
220115671,2022-07-06,2022-07-06,1650,1,"Central",101,2,624,"BATTERY - SIMPLE ASSAULT",43,"F","A",835,"7TH AND METRO CENTER (NOT LINE SPECIFIC)","IC","Invest Cont","600 S  FIGUEROA                     ST",34.0646,-118.2474,0,"0","Afternoon","Wednesday"
200312417,2020-06-08,2020-06-08,1000,3,"Southwest",326,2,624,"BATTERY - SIMPLE ASSAULT",55,"F","B",102,"SIDEWALK","IC","Invest Cont","ADAMS                        BL",34.0327,-118.3002,0,"0","Morning","Monday"
